alpha_2_code,country,url,filename,query,language,is_pdf,is_translated,is_downloaded,char_number,Is Processed,Comments,Snippet
DK,Denmark,"https://academic.oup.com/ije/article/46/2/695/2622844
https://en.wikipedia.org/wiki/BCG_vaccine",Denmark-en-result-301-original,N/A,en,FALSE,FALSE,TRUE,,yes,,
FR,France,https://www.mesvaccins.net/web/vaccines/590-vaccin-bcg-ajvaccines,France-en-result-301-translated,N/A,en,FALSE,FALSE,TRUE,,yes,,"BCG (Bacilli de Calmette-Guérin), Mycobacterium bovis Danish strain 1331, live attenuated: 2-8 x 105 CFU."
DE,Germany,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3604314,Germany-en-result-301-original,N/A,en,FALSE,FALSE,TRUE,,yes,,
GR,Greece,https://doi.org/10.1183/13993003.congress-2016.PA2742,Greece-en-result-301-original,N/A,en,FALSE,FALSE,TRUE,,yes,,
GR,Greece,https://www.ingentaconnect.com/content/iuatld/ijtld/2014/00000018/00000010/art00022;jsessionid=go6416lrjvr0.x-ic-live-02,Greece-en-result-302-original,N/A,en,FALSE,FALSE,TRUE,,yes,,
HU,Hungary,https://qubit.hu/2020/04/05/a-tuberkulozis-ellen-csecsemokorban-beadott-vakcina-valoban-vedhet-a-covid-19-ellen,Hungary-en-result-301-translated,N/A,en,FALSE,FALSE,TRUE,,yes,,
IS,Iceland,https://pubmed.ncbi.nlm.nih.gov/16155306/,Iceland-en-result-301-original,N/A,en,FALSE,FALSE,TRUE,,yes,,"""BCG vaccination was first used in Iceland in 1945. Only few persons were vaccinated in the first two years. [...] So the total number of BCG vaccinations up to the end of 1970 has not exceeded 14,000 in the country."""
IN,India,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4078488/,India-en-result-301-original,N/A,en,FALSE,FALSE,TRUE,,yes,,"In August 1948, the first BCG vaccinations were conducted in India. The work on BCG had started in India as a pilot project in two centres in 1948. In 1949, the BCG vaccination was extended to schools in almost all States of India. The International Tuberculosis Campaign (ITC) supported Government of India in expansion and scale up of BCG vaccination. From February 1949, five ITC teams demonstrated BCG vaccination in various urban centres with the start of a small scale pilot in Madanapalle. In a Conference in the summer of 1951 attended by representatives of the State Government, a proposal for the extension of mass BCG Vaccination Campaign throughout India was endorsed. The Government of India prepared a Plan of Operations laying down the organizational set-up required in each State to cover the total young population during a five to seven year period. The BCG vaccination was expanded through mass campaigns in 1951. The ITC support ended in June 1951 and from July 1951, BCG vaccination was conducted by the Indian authorities in close cooperation with UNICEF, which continued to provide financial support, and WHO, which gave technical advice31,32,33,34. In 1955-1956, the BCG vaccination mass campaign covered all the States of the Indian Union35. BCG vaccination became a part of the National Tuberculosis Control Programme (NTCP), which was started in 196232. The related events of this period were establishment of Tuberculosis Chemotherapy Center, later known as Tuberculosis Research Center (TRC) in Madras (Chennai) (now renamed as National Institute for Research in Tuberculosis) in 1956 and that of National Tuberculosis Institute (NTI) in 195932.

There were targeted efforts to control TB and the efficacy of BCG vaccine in prevention of pulmonary TB was in questions, since the very beginning. However, BCG vaccination was the only available protective measure against TB. A large BCG trial named ‘Feasibility Study for TB Prevention Trial’ was conducted in Chingelput, Tamil Nadu. This trial was started in 1968, recruitment and fifteen year follow up for all cases was completed by 1987. The trial showed that BCG vaccination did not offer significant protection against TB of the lung which occurs mostly in adults. After that, in India BCG vaccination policy was revised and it was recommended to be given at an early age preferably before the end of the first year after birth by integrating under UIP. BCG vaccination policies in many other countries were also revised as a consequence of the Chingelput trial findings36. This could be termed as a big success story of Indian research institutes in conducting large scale vaccine efficacy trial."
IR,"Iran, Islamic Rep.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6830148/,Iran-en-result-301-original,N/A,en,FALSE,FALSE,TRUE,,yes,,"Used ""as a single dose at children aged <6 years, shortly after birth or at first contact with the health services"". The only strain used is the so-called BCG-Pasteur 1173p2."
IR,"Iran, Islamic Rep.",https://www.medrxiv.org/content/10.1101/2020.03.24.20042937v1,Iran-en-result-302-original,N/A,en,FALSE,FALSE,TRUE,,yes,,"""Countries that have a late start of universal BCG policy (Iran, 1984) had high mortality, consistent with the idea that BCG protects the vaccinated elderly population. We also found that BCG vaccination also reduced the number of reported COVID-19 cases in a country."""
IE,Ireland,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-019-4026-z,Ireland-en-result-301-original,N/A,en,FALSE,FALSE,TRUE,,yes,,
JP,JP,"https://jata.or.jp/rit/rj/tenbo/48toida.pdf
https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/kenkou/kekkaku-kansenshou/bcg/index.html",Japan-en-result-301-translated,N/A,en,FALSE,FALSE,TRUE,,yes,,"In 1964, all people aged 4 to 10 (equivalent to 10 years old) and up to 20 years old and all family members with tuberculosis, from 1947 to 11-25 years old, were targeted for BCG vaccination. Under the Immunization Law, which was enacted in 1948, Japanese people under the age of 30 were required to undergo tuberculin test every year and, if negative, to be repeatedly vaccinated with BCG. From 1974, tuberculin-negative individuals were vaccinated three times at the age of four, a first-year of elementary school, and a second-year of junior high school. The children who had been vaccinated with BCG at elementary and junior high schools were tested again for tuberculin test the following year, and if they were negative, vaccinated again with BCG. From 2003, re-immunization at elementary and junior high schools was abolished, and only the first immunization for children under the age of 4 was made. Beginning in 2005, the subjects have been younger than 6 months and have not undergone a tuberculin test before BCG vaccination. Since 2013, the target of vaccination has been a child under the age of one."
KR,South Korea,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3710928/,South Korea-en-result-301-original,N/A,en,FALSE,FALSE,TRUE,,yes,,"In 1920s, BCG vaccination was initiated and daughter strains were distributed from Pasteur Institute when Korea was under Japanese imperialism. During this time, only little number of children in Korea was BCG vaccinated even though Japan had already produced liquid BCG vaccine. Japan succeeded in freeze-dried BCG vaccine production in 1943 and the actual mass production of dried BCG vaccine initiated in 1947."
KP,North Korea,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3710928/,North Korea-en-result-301-original,N/A,en,FALSE,FALSE,TRUE,,yes,,"In 1920s, BCG vaccination was initiated and daughter strains were distributed from Pasteur Institute when Korea was under Japanese imperialism. During this time, only little number of children in Korea was BCG vaccinated even though Japan had already produced liquid BCG vaccine. Japan succeeded in freeze-dried BCG vaccine production in 1943 and the actual mass production of dried BCG vaccine initiated in 1947."
MY,Malaysia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3216207/,Malaysia-en-result-301-original,N/A,en,FALSE,FALSE,TRUE,,yes,,The incidence of smear-positive tuberculosis (TB) was 63.6 per 100 000 population in 1997 and 45 per 100 000 in 2007 (1). Bacille Calmette–Guerin (BCG) vaccination was introduced in the Malaysian Immunization Scheme since 1961 (2). Malaysian healthcare system practices BCG vaccination by giving a single intradermal injection of 0.05 mL Tokyo 172 BCG strain for children less than 1 year old at left deltoid soon after birth. A repeat dose of 0.1ml is given for children at 6 years of age if no scar was formed after the first injection (1). The incidence of suppurative lymphadenitis due to BCG vaccination is 100–1000 per million doses administered (3).
MX,Mexico,https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-12-493,Mexico-en-result-301-original,N/A,en,FALSE,FALSE,TRUE,,yes,,"Historical records show that the Pasteur Institute sent several shipments of BCG strains to Mexico between 1926 and 1927 (Pasteur Institute records, personal communication). In 1928, small-scale production of BCG vaccine began in Mexico. In 1949, a BCG vaccine production laboratory was opened, and the vaccine was distributed throughout Mexico and Latin America [21–23]. Since 1931, the BCG Mexico substrain has been maintained by the Laboratorios de Biológicos y Reactivos de Mexico, a state-owned company that produces biological agents in Mexico. The BCG Mexico substrain was used as the vaccine seed for many years [24]. In 1970, this strain was replaced with the BCG Danish 1331 strain for vaccine production [25]. In 1998, BCG vaccine production ended in Mexico; since then, the country has depended on imported vaccine. These changes in vaccine production have caused confusion regarding the identity of BCG Mexico. For this reason, we characterised three representative strains used for BCG vaccine production in Mexico, which are designated BCG Mexico 1931, 1988 and 1997 according to the production period in which they were used. In this report, we describe the genomic and proteomic features of BCG Mexico 1931."
MA,Morocco,https://www.cabdirect.org/cabdirect/abstract/19552702408,Morocco-en-result-301-original,N/A,en,FALSE,FALSE,TRUE,,yes,,"Although BCG vaccination is voluntary in Morocco 2, 207, 507 children and young adults were tuberculin tested between April 1949 and May 1951, of whom 1, 009, 589, being non reactors to the preliminary test, were vaccinated intradermally with 0.1 mgm. of fresh BCG vaccine."
NO,Norway,"https://www.fhi.no/nettpub/vaksinasjonsveilederen-for-helsepersonell/vaksiner-mot-de-enkelte-sykdommene/tuberkulosevaksinasjon---veileder-f/
https://web.archive.org/web/20160307230111/http://www.fhi.no/eway/default.aspx?pid=239&trg=Content_6493&Main_6157=6287%3A0%3A25%2C5501&MainContent_6287=6493%3A0%3A25%2C6826&Content_6493=6441%3A68710%3A%3A0%3A6446%3A1%3A%3A%3A0%3A0
https://en.wikipedia.org/wiki/BCG_vaccine",Norway-en-result-301-translated,N/A,en,FALSE,FALSE,TRUE,,yes,,"The vaccine against tuberculosis is a suspension of Bacille Calmette Guérin (BCG), a living, genetically modified strain of Mycobacterium bovis (bovine tuberculosis bacteria). In Norway, the vaccine has been available from the 1920s [3].

BCG vaccine was included in the Norwegian Child Vaccination Program in 1947 and was usually given at the age of 14. Until 1995, BCG vaccination was mandated by law, when the vaccination became voluntary under the new Infection Protection Act [4]. BCG vaccination of youth with low risk of tuberculosis ceased after the 2008/2009 school year. From the summer of 2009, only children with a mother or father from countries with a high incidence of tuberculosis receive BCG vaccine in the child vaccination program. Newborn children of parents from countries with a high incidence of tuberculosis should be vaccinated in early infancy. This will ensure high vaccination coverage in the target group and reduce the risk of the child being exposed to tuberculosis infection before the vaccine is given.

BCG vaccine has ATC code J07A N01 and SYSVAK code BCG01."
PA,Panama,https://www.atsjournals.org/doi/abs/10.1164/art.1953.67.4.522,Panama-en-result-301-original,N/A,en,FALSE,FALSE,TRUE,,yes,,
PE,Peru,"http://bvs.minsa.gob.pe/local/MINSA/2060.pdf
",,N/A,en,FALSE,FALSE,TRUE,,yes,,
PL,Poland,https://sip.lex.pl/akty-prawne/dzienniki-resortowe/program-szczepien-ochronnych-na-1997-r-33630947,Poland-pl-result-301-translated,N/A,en,FALSE,FALSE,TRUE,,yes,,
RO,Romania,https://www.anm.ro/_/_RCP/rcp_4872_29.11.04.pdf,Romania-ro-result-301-translated,N/A,en,TRUE,FALSE,TRUE,,yes,,"The reconstituted vaccine contains Mycobacterium bovis BCG (Bacillus Calmette-Guerin),
Romanian substrain I. C., 1.5-6 x 106
  UV / ml (Viable Units / ml)."
SG,Singapore,https://www.nir.hpb.gov.sg/nirp/eservices/immunisationSchedule,Singapore-en-result-301-original,N/A,en,FALSE,FALSE,TRUE,,yes,,"In Singapore, BCG vaccine is COMPULSORY for every child and is given after birth. BCG vaccination was started in mid-1950s as part of the childhood immunisation programme. The BCG vaccine SSI® containing an attenuated strain of Mycobacterium bovis (Danish strain 1331) has been the only BCG vaccine registered in Singapore since June 2003."
SG,Singapore,https://www.nir.hpb.gov.sg/nirp/eservices/parentalfaq,Singapore-en-result-302-original,N/A,en,FALSE,FALSE,TRUE,,yes,Info about BCG year of introduction - ,"Q2. When was BCG vaccination introduced in Singapore?
BCG vaccination was started in mid 1950s as part of the childhood immunisation programme.
Q3. When did BCG revaccination by School Health Service discontinued?
As of 1st July 2001, BCG revaccination by School Health Service was discontinued."
SG,Singapore,https://www.hsa.gov.sg/announcements/safety-alert/update-on-trend-of-lymphadenitis-and-injection-site-reactions-with-the-bcg-vaccine-ssi,Singapore-en-result-303-original,N/A,en,FALSE,FALSE,TRUE,,yes,Info about BCG strain used in Singapore,
SI,Slovenia,"https://zgodovinskicasopis.si/zc/issue/download/40/8

",Slovenia-en-result-301-translated,N/A,en,FALSE,FALSE,TRUE,,yes,," L. 1948 they began mass extortion. Initially limited access to BCG gave priority to children in the former Yugoslavia.88 In the same year, the Ministry of Public Health issued a decree on compulsory vaccination of all generations up to 25 years."
SI,Slovenia,https://www.delo.si/novice/slovenija/brez-cepljenja-zoper-tuberkulozo.html,Slovenia-en-result-302-translated,N/A,en,FALSE,FALSE,TRUE,,yes,,"The vaccination of newborns against tuberculosis will be abolished in Slovenia on 1 January 2005, said Jurij Šorli, head of the national tuberculosis program, at today's press conference at a regular meeting of Slovenian pediatricians in Oto?ec ."
ES,Spain,https://www.analesdepediatria.org/es-tuberculosis-espana-es-diferente-el-articulo-13083825,Spain-en-result-301-translated,N/A,en,FALSE,FALSE,TRUE,,yes,,"""In the last two decades, only in the Basque Country has the BCG vaccine been included in the official vaccination calendar, although Asturian pediatricians have also prescribed it in a general way, despite pressure against much of their health authorities."" / ""Imagine what happened in the early 1980s, the date when the systematic vaccination of newborns was abandoned in almost all of Spain."""
ES,Spain,https://www.vacunas.org/vacunas-disponibles-tuberculosis/,Spain-en-result-302-original,N/A,en,FALSE,FALSE,TRUE,,yes,,"""In Spain, the first vaccine was applied in Barcelona in 1924 by Dr. Sayé, and in 1927 the Alfonso XIII Institute of Hygiene expanded vaccination to the rest of the country. Vaccination was suspended in Catalonia in 1974 and in the early 1980s in the rest of Spain; in the Basque Country it persisted until 2013."""
ES,Spain,https://vacunasaep.org/documentos/manual/cap-40,Spain-en-result-303-original,N/A,en,FALSE,FALSE,TRUE,,yes,,"""The only vaccine available in Spain (BCG Vaccine, from Pfizer) comes from the original strain of the Bacillus of Calmette-Guérin. It is for intradermal use, lyophilized at a concentration of 1 mg / ml (equivalent to 2-8 million viable bacilli). Unique presentation of 1 ml. It is contraindicated in immunosuppressed."""
SE,Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/vaccinationer/vacciner-a-o/tuberkulos-tb/,Sweden-en-result-301-translated,N/A,en,FALSE,FALSE,TRUE,,yes,,"Sweden had a mandatory BCG vaccination up until 1975 when it was officially withdrawn from the Swedish Vaccination Passport. The reason for that was that tuberculous was no longer considered as a common disease. The vaccination is given solely to children coming from countries with a high risk for this disease. It is also given to children (older than 3 months) who have been living in a country with a high risk for this disease. The vaccination is not given several times, but only once. /////////The allowed BCG vaccine in Sweden is from the stamp AJ Vaccine and can be ordered through Tamro."
TW,Taiwan,https://doi.org/10.3201/eid1509.081336,Taiwan-en-result-301-original,N/A,en,FALSE,FALSE,TRUE,,yes,,"Because Taiwan has an annual TB incidence rate of ?70 cases/100,000 persons, the National Immunization Program has included neonatal BCG vaccination since 1965. The coverage rate has remained at 97% since 2001."
TH,Thailand,https://content.sciendo.com/view/journals/abm/11/3/article-p245.xml,Thailand-en-result-301-original,N/A,en,FALSE,FALSE,TRUE,,yes,,"The Thai Red Cross Society (TRCS) Queen Saovabha Memorial Institute (QSMI) brought Tokyo 172-1 BCG vaccine strains from Japan to produce the vaccine since 1988 until now. In 2009, the complete whole genomic sequence of M. bovis BCG Tokyo 172-1 determined by Seki et al. had a length of 4,371,711 bp and contained 4033 genes, including 3950 genes coding for proteins or coding DNA sequences (CDS) [5]. However, the complete whole genomic sequence of the Tokyo 172-1 BCG strain (M. bovis BCG TRCS strain) used in Thailand has never been determined. "
TR,Turkey,https://www.expatguideturkey.com/compulsory-vaccines-to-be-applied-to-baby-after-birth-in-turkey/,Turkey-en-result-301-original,N/A,en,FALSE,FALSE,TRUE,,yes,,BCG vaccine being viable bacteria vaccine is applied subcutaneously at the end of second month following birth. BCG vaccine implemented compulsorily after 1951 in Turkey was applied 4 doses early on. This vaccine which was reduced to 2 doses in 1997 was decreased to single dose with the resolution of World Health Organization.
GB,United Kingdom,https://webarchive.nationalarchives.gov.uk/20030731062153/http://www.doh.gov.uk:80/pub/docs/doh/imstat98.pdf,,N/A,en,TRUE,FALSE,TRUE,,yes,,
GB,United Kingdom,https://www.medicines.org.uk/emc/files/pil.9890.pdf,,N/A,en,TRUE,FALSE,TRUE,,yes,,"BCG Vaccine AJV
Powder and solvent for suspension for injection.
Mycobacterium bovis BCG (Bacillus Calmette-Guerin), Danish strain 1331, live attenuated"
GB,United Kingdom,https://digital.nhs.uk/data-and-information/publications/statistical/nhs-immunisation-statistics/nhs-immunisation-statistics-england-2004-05,,N/A,en,FALSE,FALSE,TRUE,,yes,,
GB,United Kingdom,https://vk.ovg.ox.ac.uk/vk/bcg-vaccine,United Kingdom-en-result-301-original,N/A,en,FALSE,FALSE,TRUE,,yes,,Vaccination of all children aged 10-14 continued until 2005
GB,United Kingdom,http://www.priory.com/cmol/bcg.htm,United Kingdom-en-result-302-original,N/A,en,FALSE,FALSE,TRUE,,yes,,From 1953 until July 2005 it was national policy to vaccinate all children aged 12-13. Thus in theory the entire population received protection from early teenage years through to about the age of 30.
LV,Latvia,https://www.rsu.lv/sites/default/files/imce/Zin%C4%81tnes%20departaments/zin-konf-2014-tezes.pdf,Latvia-en-result-301-translated.txt,N/A,en,FALSE,FALSE,TRUE,,yes,,"BCG vaccination in Latvia
has been compulsory since 1962 and is included in the governmental immunization program. BCG
vaccine Aventis Pasteur SA (France strain 1077) was used in Latvia from 1991 to 2005. BCG vaccine SSI
(Danish strain 1335) was used in 1994 and 1995 and since 2005 to present time."
MX,Mexico,http://www.censia.salud.gob.mx/contenidos/descargas/vacunas/Manual_Vacunacion2008-2009b.pdf,Mexico-en-result-302-translated,N/A,en,FALSE,FALSE,TRUE,,yes,,"History of vaccination in Mexico
Year Event
1804 Dr. Francisco Balmis introduced smallpox vaccination to Mexico.
1908 In Mexico, the Law establishing the National Bacteriological Institute, created
for infectious diseases to be studied and vaccines to be prepared,
serums and antitoxins to prevent and cure them."
MK,North Macedonia,http://eprints.ugd.edu.mk/23432/1/Pedijatrija%20so%20nega-medicinski%20sestri%20i%20tehnicari.pdf,North Macedonia-mk-result-301-translated.txt,N/A,en,FALSE,FALSE,TRUE,,yes,,"Age for immunization Vaccines Type of vaccine
24 hours after birth • Hepatitis B • BCG"
AR,Argentina,http://www.msal.gob.ar/images/stories/bes/graficos/0000000042cnt-03-normas-vacunacion-08.pdf,Argentina-en-result-301-transalted,N/A,en,FALSE,FALSE,TRUE,,yes,,
HN,Honduras,http://www.bvs.hn/Honduras/salud/normas.y.procedimientos.del.programa.ampliado.de.inmunizaciones.%28pai%29.de.honduras.pdf,Honduras-en-result-301-translated,N/A,en,FALSE,FALSE,TRUE,,yes,,
PY,Paraguay,http://portal.mspbs.gov.py/pai/images/documentos/manuales/2016/normasdelpai2016selection1.pdf,Paraguay-en-result-301-translated,N/A,en,FALSE,FALSE,TRUE,,yes,,
NE,Niger,https://extranet.who.int/countryplanningcycles/sites/default/files/planning_cycle_repository/niger/niger_cmyp_2016-2020.pdf,Nigeria-en-result-301-translated.txt,N/A,en,FALSE,FALSE,TRUE,,yes,,
AT,Austria,https://www.sozialministerium.at/dam/jcr:a0cf83df-7c20-48ac-b024-e6015a45a753/200103_Impfplan_%C3%96sterreich_2020_pdfUA.pdf,Australia-en-result-301-translated,N/A,en,FALSE,FALSE,TRUE,,yes,,The BCG (Bacillus Calmette Guérin) vaccination is in Austria is also no longer permitted and no longer available
RO,Romania,http://www.snspms.ro/UserFiles/File/ph_press/tb_ghidul_pentru_diagnosticul_si_tratamentul_tuberculozei_la_copii.pdf,Australia-en-result-301-translated,N/A,en,FALSE,FALSE,TRUE,,yes,,"BCG vaccination is mandatory in Romania for newborns and maternity discharge, if there are no contraindications"
HU,Hungary,http://2010-2014.kormany.hu/download/4/e3/00000/Eg%C3%A9szs%C3%A9g%C3%BCgyi%20K%C3%B6zl%C3%B6ny%C3%B6k_2010_9.pdf,Hungary-hu-result-303-translated,N/A,en,FALSE,FALSE,TRUE,,yes,,BCG vaccination of newborns at the obstetric institution or within 6 weeks after birth
NO,Norway,https://www.regjeringen.no/contentassets/1bcb0db239624ed0a12b16a54833c962/no/pdfa/nou199819980003000dddpdfa.pdf,Norway-en-result-303-translated,N/A,en,FALSE,FALSE,TRUE,,yes,,"In Norway, 13-year-olds who were vaccinated in the years 1956/57 to 1972/73 were followedten years. The protective effect of BCG vaccines was calculated at 81%."
KZ,Kazakhstan,https://semeymedicaluniversity.kz/wp-content/uploads/files/%D0%B4%D0%B8%D1%81%D1%81%D0%BE%D0%B2%D0%B5%D1%82/%D0%B4%D0%B8%D1%81%D1%81%D0%BE%D0%B2%D0%B5%D1%82%20%D0%BE%D0%B7/%D0%91%D0%B0%D0%B9%D0%B1%D1%83%D1%81%D0%B8%D0%BD%D0%BE%D0%B2%D0%B0%20%D0%90.%D0%96.%20%D0%B4%D0%B8%D1%81%D1%81%D0%B5%D1%80%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20PhD%202018%20%D0%BD%D0%B0%20%D1%81%D0%B0%D0%B9%D1%82.pdf,Kazakhstan-en-result-301-translated,N/A,en,FALSE,FALSE,TRUE,,yes,,
